symbol,exchange,name
023440,KRX,제이스코홀딩스
023450,KRX,동남합성
023530,KRX,롯데쇼핑
023590,KRX,다우기술
023600,KRX,삼보판지
023760,KRX,한국캐피탈
023770,KRX,플레이위드
023790,KRX,동일스틸럭스
023800,KRX,인지컨트롤스
023810,KRX,인팩
023900,KRX,풍국주정
023910,KRX,대한약품
023960,KRX,에쓰씨엔지니어링
024060,KRX,흥구석유
024070,KRX,WISCOM
024090,KRX,디씨엠
024110,KRX,기업은행
024120,KRX,KB오토시스
024720,KRX,콜마홀딩스
024740,KRX,한일단조
024800,KRX,유성티엔에스
024830,KRX,세원물산
024840,KRX,KBI메탈
024850,KRX,HLB이노베이션
024880,KRX,케이피에프
024890,KRX,대원화성
024900,KRX,디와이덕양
024910,KRX,경창산업
024940,KRX,PN풍년
024950,KRX,삼천리자전거
025000,KRX,KPX케미칼
025320,KRX,시노펙스
025440,KRX,DH오토웨어
025530,KRX,SJM홀딩스
025540,KRX,한국단자
025550,KRX,한국선재
025560,KRX,미래산업
025620,KRX,제이준코스메틱
025750,KRX,한솔홈데코
025770,KRX,한국정보통신
025820,KRX,이구산업
025860,KRX,남해화학
025870,KRX,신라에스지
025880,KRX,케이씨피드
025890,KRX,한국주강
025900,KOSDAQ GLOBAL,동화기업
025950,KRX,동신건설
025980,KRX,아난티
026040,KRX,제이에스티나
026150,KRX,특수건설
026890,KRX,스틱인베스트먼트
026910,KRX,광진실업
026940,KRX,부국철강
026960,KRX,동서
027040,KRX,서울전자통신
027050,KRX,코리아나
027360,KRX,아주IB투자
027410,KRX,BGF
027580,KRX,상보
027710,KRX,팜스토리
027740,KRX,마니커
027830,KRX,대성창투
027970,KRX,한국제지
028050,KRX,삼성E&A
028080,KRX,휴맥스홀딩스
028100,KRX,동아지질
028260,KRX,삼성물산
028300,KRX,HLB
028670,KRX,팬오션
029460,KRX,케이씨
029480,KRX,광무
029530,KRX,신도리코
029780,KRX,삼성카드
030000,KRX,제일기획
030190,KRX,NICE평가정보
030200,KRX,KT
030210,KRX,다올투자증권
030350,KRX,드래곤플라이
030520,KOSDAQ GLOBAL,한글과컴퓨터
030530,KRX,원익홀딩스
030610,KRX,교보증권
030720,KRX,동원수산
030960,KRX,양지사
031210,KRX,서울보증보험
031310,KRX,아이즈비전
031330,KRX,에스에이엠티
031430,KRX,신세계인터내셔날
031440,KRX,신세계푸드
031510,KRX,오스템
031820,KRX,아이티센씨티에스
031860,KRX,디에이치엑스컴퍼니
031980,KRX,피에스케이홀딩스
032080,KRX,아즈텍WB
032190,KRX,다우데이타
032280,KRX,삼일
032300,KRX,한국파마
032350,KRX,롯데관광개발
032500,KRX,케이엠더블유
032540,KRX,TJ미디어
032560,KRX,황금에스티
032580,KRX,피델릭스
032620,KRX,유비케어
032640,KRX,LG유플러스
032680,KRX,소프트센
032685,KRX,소프트센우
032750,KRX,삼진
032790,KRX,엠젠솔루션
032800,KRX,판타지오
032820,KRX,우리기술
032830,KRX,삼성생명
032850,KRX,비트컴퓨터
032860,KRX,더라미
032940,KRX,원익
032960,KRX,동일기연
032980,KRX,바이온
033050,KRX,제이엠아이
033100,KRX,제룡전기
033130,KRX,디지틀조선
033160,KRX,엠케이전자
033170,KRX,시그네틱스
033180,KRX,KH 필룩스
033200,KRX,모아텍
033230,KRX,인성정보
033240,KRX,자화전자
033250,KRX,체시스
033270,KRX,유나이티드제약
033290,KRX,코웰패션
033310,KRX,엠투엔
033320,KRX,제이씨현시스템
033340,KRX,좋은사람들
